index0	terrace	bedrooms	construction_year	date_month	date_year	date_year_month	floor	rooms	price_room	price_surface	price	scout_id	surface	url	zip
0	yes	2	1986	3	2016	2016_03	up floor	3	108333.33333333333	3915.6626506024095	325000	87559356	83	http://www.immobilienscout24.de/expose/87559356	85221
1	yes	NAN	1972	3	2016	2016_03	up floor	3	115000.0	4107.142857142857	345000	87551827	84	http://www.immobilienscout24.de/expose/87551827	85521
2	yes	2	1968	3	2016	2016_03	up floor	3	123333.33333333333	4805.194805194805	370000	87546653	77	http://www.immobilienscout24.de/expose/87546653	81369
3	yes	2	1963	3	2016	2016_03	up floor	3	133000.0	4244.68085106383	399000	87458946	94	http://www.immobilienscout24.de/expose/87458946	82110
4	yes	2	1973	3	2016	2016_03	up floor	3	122933.33333333333	4789.61038961039	368800	87498263	77	http://www.immobilienscout24.de/expose/87498263	81735
5	yes	2	1972	3	2016	2016_03	up floor	3	85666.66666666667	3212.5	257000	87496679	80	http://www.immobilienscout24.de/expose/87496679	85716
6	yes	2	1975	3	2016	2016_03	up floor	3	109666.66666666667	4386.666666666667	329000	85648166	75	http://www.immobilienscout24.de/expose/85648166	81673
7	yes	NAN	1972	3	2016	2016_03	up floor	4	79750.0	3009.433962264151	319000	87489530	106	http://www.immobilienscout24.de/expose/87489530	85716
8	yes	NAN	1983	3	2016	2016_03	NAN	3	115000.0	4312.5	345000	87507778	80	http://www.immobilienscout24.de/expose/87507778	81379
9	yes	2	1967	3	2016	2016_03	NAN	3	99666.66666666667	3934.2105263157896	299000	81601754	76	http://www.immobilienscout24.de/expose/81601754	81927
10	yes	NAN	1970	3	2016	2016_03	up floor	3	121666.66666666667	4562.5	365000	87480095	80	http://www.immobilienscout24.de/expose/87480095	81245
11	yes	2	1976	3	2016	2016_03	up floor	3	128333.33333333333	4184.782608695652	385000	83583595	92	http://www.immobilienscout24.de/expose/83583595	81925
12	yes	NAN	1973	3	2016	2016_03	up floor	3	95666.66666666667	3500.0	287000	87473147	82	http://www.immobilienscout24.de/expose/87473147	85540
13	yes	2	1968	3	2016	2016_03	up floor	3	126666.66666666667	4871.794871794872	380000	87472572	78	http://www.immobilienscout24.de/expose/87472572	81245
14	yes	NAN	2005	3	2016	2016_03	up floor	3	119333.33333333333	4531.645569620253	358000	87470546	79	http://www.immobilienscout24.de/expose/87470546	82110
15	yes	2	1964	3	2016	2016_03	up floor	3	103333.33333333333	3690.4761904761904	310000	87466087	84	http://www.immobilienscout24.de/expose/87466087	82110
16	yes	NAN	1972	3	2016	2016_03	NAN	3	116333.33333333333	4204.819277108434	349000	87460212	83	http://www.immobilienscout24.de/expose/87460212	82061
17	yes	2	1974	3	2016	2016_03	up floor	3	92224.0	3217.1162790697676	276672	87457442	86	http://www.immobilienscout24.de/expose/87457442	81735
18	yes	NAN	1974	3	2016	2016_03	up floor	3	116666.66666666667	5000.0	350000	87455627	70	http://www.immobilienscout24.de/expose/87455627	80935
19	yes	2	1967	3	2016	2016_03	ground floor	3	106666.66666666667	4507.042253521126	320000	87444744	71	http://www.immobilienscout24.de/expose/87444744	85521
20	yes	2	1913	3	2016	2016_03	up floor	3	100000.0	4411.764705882353	300000	87540273	68	http://www.immobilienscout24.de/expose/87540273	81371
21	yes	2	1960	3	2016	2016_03	up floor	3	113000.0	5380.952380952381	339000	87472881	63	http://www.immobilienscout24.de/expose/87472881	81245
22	yes	2	1969	3	2016	2016_03	up floor	3	108333.33333333333	3823.529411764706	325000	80299769	85	http://www.immobilienscout24.de/expose/80299769	81673
23	yes	3	1975	3	2016	2016_03	up floor	3	132666.66666666666	4234.04255319149	398000	87445100	94	http://www.immobilienscout24.de/expose/87445100	81735
24	yes	3	1970	3	2016	2016_03	up floor	4	97000.0	4084.2105263157896	388000	87436218	95	http://www.immobilienscout24.de/expose/87436218	80807
25	yes	2	1972	3	2016	2016_03	NAN	3	133333.33333333334	4651.162790697675	400000	87422025	86	http://www.immobilienscout24.de/expose/87422025	81735
26	yes	2	1989	3	2016	2016_03	up floor	3	90000.0	3750.0	270000	87343652	72	http://www.immobilienscout24.de/expose/87343652	81737
27	yes	2	NAN	3	2016	2016_03	up floor	3	125000.0	5357.142857142857	375000	87413872	70	http://www.immobilienscout24.de/expose/87413872	81539
28	yes	2	1978	3	2016	2016_03	up floor	3	126333.33333333333	4211.111111111111	379000	87410476	90	http://www.immobilienscout24.de/expose/87410476	81371
29	yes	2	1967	3	2016	2016_03	up floor	3	123333.33333333333	5068.493150684932	370000	87412454	73	http://www.immobilienscout24.de/expose/87412454	81243
30	yes	NAN	1976	3	2016	2016_03	NAN	3	89666.66666666667	3405.0632911392404	269000	87439670	79	http://www.immobilienscout24.de/expose/87439670	85640
31	yes	1	1979	3	2016	2016_03	up floor	3	123000.0	4193.181818181818	369000	87420325	88	http://www.immobilienscout24.de/expose/87420325	82131
32	yes	NAN	1971	3	2016	2016_03	up floor	3	128333.33333333333	4812.5	385000	87412276	80	http://www.immobilienscout24.de/expose/87412276	81476
33	yes	NAN	1967	3	2016	2016_03	up floor	3	73333.33333333333	3055.5555555555557	220000	87399584	72	http://www.immobilienscout24.de/expose/87399584	80689
34	yes	3	1967	3	2016	2016_03	up floor	4	96450.0	5010.38961038961	385800	87395483	77	http://www.immobilienscout24.de/expose/87395483	81541
